severity,lat,long,weather,light,main cause,collosion type,occurred_from,
1,14.62158257,121.0502708,3,2,1,8,1,
1,14.65059659,121.0744321,3,2,1,10,1,
3,14.57383015,121.0482154,3,2,1,10,0,
3,14.55644018,121.0631132,3,2,1,10,0,
1,14.62058595,121.1018658,3,2,1,10,0,
1,14.66930574,121.0760415,3,2,1,4,22,
1,14.55635192,121.0630703,3,2,1,10,22,
3,14.6575407,121.0742444,3,2,1,8,22,
3,14.6148132,121.0748319,3,2,1,8,22,
1,14.5682666,121.0458433,4,2,1,10,0,
1,14.54050987,121.0553026,4,2,1,8,0,
1,14.62059633,121.1019248,4,2,1,10,0,
1,14.5243947,121.0257806,4,2,1,10,23,
1,14.61358876,121.0535967,4,2,1,10,23,
1,14.65753551,121.0742176,4,2,1,10,22,
3,14.63744473,121.0263562,4,2,1,10,4,
1,14.64755523,121.0744214,4,2,1,10,0,
1,14.56414531,120.9849429,4,2,1,10,22,
1,14.57870331,120.9778082,4,2,1,10,2,
1,14.60137948,121.0793889,4,2,1,10,2,
1,14.61080644,121.0552382,4,2,1,10,1,
1,14.54113298,121.017977,4,2,1,10,1,
1,14.57743653,121.073488,4,2,1,10,0,
1,14.60780605,121.0566115,4,2,1,10,0,
1,14.60169095,121.0468054,4,2,1,10,0,
1,14.65089761,121.0467303,1,2,1,10,1,
1,14.64821955,121.0744965,1,2,1,10,1,
1,14.6304714,121.0109345,1,2,1,10,0,
1,14.65225738,121.0465586,4,2,1,10,23,
1,14.61086873,121.075784,4,2,1,10,3,
1,14.60549085,121.079185,4,2,1,10,0,
1,14.60549085,121.079185,4,2,1,10,0,
3,14.59720575,121.0598087,4,2,1,10,0,
1,14.61934018,121.0958147,4,2,1,10,0,
1,14.65366905,121.0384798,4,2,1,10,0,
3,14.61664098,121.0522342,4,2,1,10,23,
1,14.60339884,121.0445684,4,2,1,10,22,
3,14.58063462,120.9997272,4,2,1,10,22,
1,14.61354205,121.0536075,3,2,1,10,0,
1,14.54888018,121.0279655,7,2,1,10,23,
1,14.60096419,121.0478139,3,2,1,10,23,
1,14.54538047,121.054101,3,2,1,10,22,
1,14.5847879,120.9746432,3,2,1,10,22,
1,14.65056545,121.0468698,4,2,1,10,0,
1,14.58081113,121.0534358,4,2,1,10,0,
3,14.61115942,121.0547769,4,2,1,10,0,
1,14.56422838,120.9849644,4,2,1,10,22,
3,14.63266959,121.0186315,4,2,1,10,22,
1,14.57386979,121.0480982,4,2,1,10,1,
1,14.57300275,120.9809732,4,2,1,10,0,
1,14.6591031,121.0226857,4,2,1,7,0,
1,14.6513572,121.046573,4,2,1,10,0,
1,14.59654505,121.0760004,4,2,1,8,0,
1,14.6441803,120.9937771,4,2,1,10,0,
1,14.5892608,121.0572119,4,2,1,10,23,
3,14.67169811,121.0321498,4,2,1,10,23,
1,14.657631,121.0199577,4,2,1,10,23,
1,14.60172599,121.0469236,4,2,1,10,23,
3,14.63265402,121.0447723,3,2,1,10,1,
3,14.7060084,121.0715246,3,2,1,10,0,
1,14.6504151,121.0469343,3,2,1,10,0,
3,14.5525169,120.989851,4,2,1,10,0,
1,14.58469445,121.0558069,3,2,1,8,0,
3,14.60130681,121.0792494,3,2,1,6,23,
1,14.6462058,121.0406792,3,2,1,10,23,
3,14.58282548,121.076653,4,2,1,10,0,
1,14.65504956,121.0301542,4,2,1,10,23,
1,14.5810811,121.0536397,4,2,1,10,23,
